year,winner_avg_speed,total_distance,winner,winner_nationality,starting_city
1903,25.68,2428,Maurice Garin,France,Paris
1904,25.27,2420,Henri Cornet,France,Paris
1905,27.11,2994,Louis Trousselier,France,Paris
1906,24.46,4545,Rene Pottier,France,Paris
1907,28.47,4488,Lucien Petit-Breton,France,Paris
1908,28.74,4488,Lucien Petit-Breton ,France,Paris
1909,28.66,4497,Francois Faber,Luxembourg,Paris
1910,29.1,4737,Octave Lapize,France,Paris
1911,27.32,5344,Gustave Garrigou,France,Paris
1912,27.76,5289,Odile Defraye,Belgium,Paris
1913,26.72,5287,Philippe Thys,Belgium,Paris
1914,26.84,5380,Philippe Thys ,Belgium,Paris
1919,24.06,5560,Firmin Lambot,Belgium,Paris
1920,24.07,5503,Philippe Thys ,Belgium,Paris
1921,24.72,5485,Leon Scieur,Belgium,Paris
1922,24.2,5375,Firmin Lambot ,Belgium,Paris
1923,24.23,5386,Henri Pelissier,France,Paris
1924,24.25,5425,Ottavio Bottecchia,Italy,Paris
1925,24.82,5440,Ottavio Bottecchia ,Italy,Paris
1926,24.28,5745,Lucien Buysse,Belgium,Evian
1927,27.22,5340,Nicolas Frantz,Luxembourg,Paris
1928,28.4,5476,Nicolas Frantz ,Luxembourg,Paris
1929,28.32,5257,Maurice De Waele,Belgium,Paris
1930,28,4822,Andre Leducq,France,Paris
1931,28.74,5091,Antonin Magne,France,Paris
1932,29.05,4479,Andre Leducq ,France,Paris
1933,29.82,4395,Georges Speicher,France,Paris
1934,30.36,4470,Antonin Magne ,France,Paris
1935,30.65,4338,Romain Maes,Belgium,Paris
1936,31.11,4418,Sylvere Maes,Belgium,Paris
1937,31.77,4415,Roger Lapebie,France,Paris
1938,31.57,4694,Gino Bartali,Italy,Paris
1939,31.99,4224,Sylvere Maes ,Belgium,Paris
1947,31.41,4640,Jean Robic,France,Paris
1948,33.44,4922,Gino Bartali ,Italy,Paris
1949,32.12,4808,Fausto Coppi,Italy,Paris
1950,32.78,4773,Ferdinand Kubler,Switzerland,Paris
1951,32.95,4690,Hugo Koblet,Switzerland,Metz
1952,32.23,4898,Fausto Coppi ,Italy,Brest
1953,34.59,4476,Louison Bobet,France,Strasbourg
1954,33.23,4656,Louison Bobet ,France,Amsterdam
1955,34.45,4495,Louison Bobet ,France,Le Havre
1956,36.27,4498,Roger Walkowiak,France,Reims
1957,34.52,4665,Jacques Anquetil,France,Nantes
1958,36.92,4319,Charly Gaul,Luxembourg,Brussels
1959,35.47,4391,Federico Bahamontes,Spain,Mulhouse
