id,SAT,ACT
1,1000,24
2,1100,35
3,950,21
4,1070,26
5,1150,31
6,1280,28
7,1110,36
8,1080,22
9,1000,22
10,1530,35
11,1470,32
12,1310,29
13,1200,21
14,1505,35
15,1270,27
16,1230,27
17,1290,33
18,1320,32
19,1220,28
20,1290,32
21,1070,28
22,1100,30
23,1450,31
24,1200,30
25,1000,31
26,1330,30
27,1400,30
28,760,21
29,900,28
30,1100,33
31,1000,28
32,1210,24
33,1230,27
34,1190,31
35,1240,33
36,1200,29
37,1100,28
38,1200,24
39,1170,27
40,1400,31
41,1140,28
42,1410,29
43,1400,30
44,1270,36
45,1300,36
46,1310,26
47,1310,33
48,1400,27
49,880,23
50,1490,33
51,1450,35
52,1280,28
53,1200,28
54,1360,33
55,1540,34
56,1250,26
57,1300,36
58,1440,28
59,879,18
60,1560,34
61,1400,34
62,1300,32
63,1250,36
64,1360,34
65,1100,21
66,1240,31
67,1020,22
68,1260,29
69,1200,29
70,1100,24
71,900,26
72,1260,29
73,1210,28
74,1400,32
75,1350,32
76,1130,27
77,1270,28
78,1130,32
79,750,15
80,1150,21
81,1000,26
82,1100,25
83,1460,31
84,1160,26
85,1190,28
86,1350,33
87,1050,24
88,1150,32
89,1400,31
90,700,30
91,1380,32
92,1470,36
93,1380,32
94,1540,30
95,1240,27
96,1510,35
97,1300,29
98,1362,33
99,840,30
100,1450,32
101,1250,26
102,1430,36
103,1280,36
104,1220,27
105,1300,26
106,1210,29
107,1350,23
108,1070,23
109,1400,29
110,1200,32
111,1440,32
112,1340,30
113,1160,28
114,1140,23
115,1280,36
116,1250,26
117,1000,36
118,1260,34
119,980,23
120,950,28
121,1150,23
122,1190,28
123,1440,32
124,910,16
125,1250,29
126,1330,29
127,1130,29
128,1360,32
129,1050,26
130,NA,23
131,950,35
132,1000,28
133,1130,25
134,1050,23
135,1540,36
136,1260,30
137,1200,30
138,1380,33
139,1320,31
140,1300,28
141,1100,35
142,1330,32
143,1090,26
144,1460,34
145,1460,34
146,1330,32
147,1070,24
148,1370,32
149,740,23
150,1600,35
151,1600,24
152,1200,30
153,1600,26
154,1440,26
155,1400,30
156,1505,34
157,1000,19
158,1200,23
159,1190,31
160,1175,28
161,1380,32
162,700,25
163,1100,26
164,1370,31
165,1460,34
166,1260,31
167,1400,30
168,1450,36
169,1298,32
170,1270,33
171,1310,29
172,1160,25
173,1000,30
174,1000,34
175,1600,32
176,1380,29
177,1180,25
178,1200,32
179,1380,33
180,1200,35
181,1300,26
182,1040,24
183,1100,23
184,1550,35
185,1428,27
186,1130,28
187,1200,27
188,1325,28
189,1270,32
190,1300,34
191,1125,27
192,1280,31
193,1100,17
194,700,25
195,1400,36
196,1260,29
197,NA,30
198,1250,29
199,1300,28
200,1220,28
201,1357,30
202,1110,30
203,1450,31
204,1300,29
205,1280,28
206,870,26
207,1310,31
208,1260,25
209,1060,21
210,1000,24
211,1105,36
212,1570,34
213,1410,32
214,1190,23
215,1570,36
216,1440,34
217,1180,28
218,1000,19
219,1200,31
220,595,21
221,850,19
222,910,22
223,1400,30
224,920,18
225,1390,36
226,1210,28
227,1275,24
228,1380,28
229,1070,23
230,1430,30
231,1150,22
232,970,23
233,1100,25
234,1190,25
235,1100,24
236,1200,30
237,1370,30
238,1150,24
239,1040,22
240,1220,22
241,1140,27
242,1280,27
243,1470,35
244,1000,16
245,1330,28
246,1200,25
247,1140,23
248,NA,32
249,1275,25
250,1100,28
251,400,35
252,1330,28
253,1060,24
254,970,27
255,1325,30
256,1450,34
257,1300,35
258,1430,33
259,1000,19
260,1160,25
261,1200,35
262,860,26
263,1160,24
264,900,20
265,1000,30
266,1400,32
267,1450,30
268,1470,29
269,1100,28
270,1150,23
271,1200,36
272,1250,25
273,1390,29
274,950,20
275,1000,32
276,1390,24
277,1200,30
278,1430,33
279,1080,21
280,850,20
281,1460,32
282,600,30
283,1340,31
284,1180,25
285,700,18
286,1090,25
287,900,26
288,1340,29
289,1460,33
290,1475,31
291,970,25
292,1410,27
293,1490,36
294,1320,32
295,1340,32
296,1220,26
297,1040,23
298,1210,34
299,1280,27
300,1360,30
301,1170,30
302,1150,28
303,1000,25
304,960,20
305,1240,26
306,1570,33
307,930,23
308,1490,33
309,1010,25
310,1350,27
311,1130,26
312,1400,28
313,1300,28
314,1450,35
315,950,21
316,1170,28
317,1200,29
318,1540,32
319,1300,30
320,740,18
321,1400,32
322,1420,32
323,1220,27
324,600,17
325,1200,28
326,970,21
327,1300,30
328,1060,25
329,1450,32
330,1510,35
331,1360,32
332,780,16
333,1000,27
334,1350,27
335,600,20
336,1380,31
337,1210,30
338,1080,24
339,1110,26
340,1332,19
341,900,24
342,1080,27
343,1400,35
344,1170,27
345,1390,32
346,1092,26
347,1150,25
348,1310,29
349,1180,36
350,1200,30
351,1350,25
352,1050,22
353,1080,27
354,1266,23
355,1500,34
356,1420,31
357,1480,33
358,1420,31
359,1080,26
360,1400,35
361,1360,33
362,1300,29
363,1300,28
364,NA,27
365,850,27
366,1350,31
367,1230,31
368,1300,32
369,1010,22
370,580,35
371,1100,25
372,1140,25
373,1150,23
374,950,26
375,1120,27
376,NA,27
377,1440,34
378,1000,30
379,1420,32
380,1050,26
381,1120,25
382,1170,29
383,1050,22
384,1440,28
385,1510,35
386,1380,24
387,940,27
388,1440,32
389,600,17
390,860,18
391,930,20
392,1340,35
393,1440,32
394,1000,24
395,1410,32
396,1150,29
397,1250,28
398,950,27
399,1340,27
400,990,20
401,1150,22
402,1285,33
403,1220,30
404,1550,34
405,1050,28
406,1200,32
407,800,30
408,1060,23
409,1430,34
410,1150,26
411,1100,32
412,1100,22
413,1170,29
414,1000,23
415,1300,35
416,1400,32
417,1270,31
418,1410,27
419,NA,29
420,1290,29
421,1430,33
422,1300,35
423,880,21
424,1600,24
425,1170,29
426,1300,30
427,1100,30
428,1320,32
429,1300,28
430,1400,28
431,1240,25
432,1400,28
433,1440,33
434,1150,32
435,800,20
436,920,21
437,1370,28
438,1100,35
439,1180,26
440,600,3
441,1020,21
442,1000,21
443,1120,32
444,1280,31
445,1120,27
446,1510,35
447,1510,32
448,1290,24
449,1280,34
450,1420,32
451,1550,31
452,1250,36
453,900,23
454,1350,28
455,1450,35
456,1140,22
457,1200,26
458,1210,29
459,1300,29
460,1100,21
461,1400,31
462,1210,36
463,800,25
464,1080,27
465,880,17
466,1500,32
467,1200,32
